Free sugars intake (% of total energy) in all age groups for all paired years of the NDNS Rolling Programme ,(2008/09 - 2009/10),(2010/11 - 2011/12),(2012/13 - 2013/14),(2014/15-2015/16)
Children 1.5-3 years,12.1,13,12.8,11.3
Children 4-10 years,14.7,15.5,14,13.5
Children 11-18 years,15.9,15.8,15.8,14.1
Adults 19-64 years,11.8,11.7,12.1,11.1
Men 19-64 years,12,12.3,12.5,11.1
Women 19-64 years,11.6,11.2,11.6,11.2
Adults 65 years and over,10.9,11.4,10.8,11.2
Men 65 years and over,9.7,11,11.6,11.8
Women 65 years and over,10.1,11.3,9.5,10.4
Adults 65-74 years,9.9,11.2,10.5,11
Men 65-74 years,9.7,11,11.6,11.8
Women 65-74 years,10.1,11.3,9.5,10.4
Adults 75 years and over,12.2,11.8,11.3,11.3
Men 75 years and over,11.8,12.3,11.5,12.5
Women 75 years and over,12.4,11.2,11.2,10.4